#ID	Name
0x00	Void
0x01	Cure
0x02	Cura
0x03	Curaga
0x04	Regen
0x05	Life
0x06	Full-Life
0x07	Scan
0x08	Panacea
0x09	Stona
0x0A	Esuna
0x0B	Shell
0x0C	Protect
0x0D	Haste
0x0E	Silence
0x0F	Mini
0x10	Reflect
0x11	Confuse
0x12	Berserk
0x13	Blind
0x14	Float
0x15	Dispel
0x16	Might
0x17	Jewel
0x18	Holy
0x19	Fire
0x1A	Fira
0x1B	Firaga
0x1C	Sleep
0x1D	Blizzard
0x1E	Blizzara
0x1F	Blizzaga
0x20	Slow
0x21	Thunder
0x22	Thundara
0x23	Thundaga
0x24	Stop
0x25	Poison
0x26	Bio
0x27	Osmose
0x28	Drain
0x29	Demi
0x2A	Comet
0x2B	Death
0x2C	Break
0x2D	Water
0x2E	Meteor
0x2F	Flare
0x30	Doomsday
0x31	Shiva
0x32	Fire Sword
0x33	Ifrit
0x34	Fira Sword
0x35	Ramuh
0x36	Firaga Sword
0x37	Atomos
0x38	Blizzard Sword
0x39	Blizzara Sword
0x3A	Odin
0x3B	Blizzaga Sword
0x3C	Leviathan
0x3D	Thunder Sword
0x3E	Bahamut
0x3F	Thundara Sword
0x40	Ark
0x41	Thundaga Sword
0x42	Fenrir
0x43	Fenrir
0x44	Carbuncle
0x45	Carbuncle
0x46	Carbuncle
0x47	Carbuncle
0x48	Phoenix
0x49	Rebirth Flame
0x4A	Madeen
0x4B	Bio Sword
0x4C	Water Sword
0x4D	Goblin Punch
0x4E	LV5 Death
0x4F	LV4 Holy
0x50	LV3 Def-Less
0x51	Doom
0x52	Roulette
0x53	Aqua Breath
0x54	Mighty Guard
0x55	Matra Magic
0x56	Bad Breath
0x57	Limit Glove
0x58	1,000 Needles
0x59	Pumpkin Head
0x5A	Night
0x5B	Twister
0x5C	Earth Shake
0x5D	Angel's Snack
0x5E	Frog Drop
0x5F	White Wind
0x60	Vanish
0x61	Freeze
0x62	Mustard Bomb
0x63	Magic Hammer
0x64	Auto-Life
0x65	Flee
0x66	Detect
0x67	What's That?!
0x68	Soul Blade
0x69	Annoy
0x6A	Sacrifice
0x6B	Lucky Seven
0x6C	Thievery
0x6D	Free Energy
0x6E	Tidal Flame
0x6F	Scoop Art
0x70	Shift Break
0x71	Stellar Circle 5
0x72	Meo Twister
0x73	Solution 9
0x74	Grand Lethal
0x75	Lancer
0x76	Reis's Wind
0x77	Dragon's Breath
0x78	White Draw
0x79	Luna
0x7A	Six Dragons
0x7B	Cherry Blossom
0x7C	Dragon's Crest
0x7D	Chakra
0x7E	Spare Change
0x7F	No Mercy
0x80	Aura
0x81	Curse
0x82	Revive
0x83	Demi Shock
0x84	Countdown
0x85	Chakra
0x86	Spare Change
0x87	No Mercy
0x88	Aura
0x89	Curse
0x8A	Revive
0x8B	Demi Shock
0x8C	Countdown
0x8D	Darkside
0x8E	Minus Strike
0x8F	Iai Strike
0x90	Power Break
0x91	Armour Break
0x92	Mental Break
0x93	Magic Break
0x94	Charge
0x95	Thunder Slash
0x96	Stock Break
0x97	Climhazzard
0x98	Shock
0x99	Diamond Dust
0x9A	Flames of Hell
0x9B	Judgement Bolt
0x9C	Worm Hole
0x9D	Zantetsuken
0x9E	Tsunami
0x9F	Mega Flare
0xA0	Eternal Darkness
0xA1	None
0xA2	None
0xA3	None
0xA4	None
0xA5	None
0xA6	None
0xA7	None
0xA8	None
0xA9	None
0xAA	None
0xAB	None
0xAC	Jump
0xAD	Pyro
0xAE	Medeo
0xAF	Poly
0xB0	Attack
0xB1	Steal
0xB2	Jump
0xB3	Defend
0xB4	Flee
0xB5	Mug
0xB6	Change
0xB7	Eat
0xB8	Cook
0xB9	Spear
0xBA	Spear
0xBB	Terra Homing
0xBC	Focus
0xBD	Flare Sword
0xBE	Throw
0xBF	Doomsday Sword
