#ID	Name
0x00	Goblin
0x01	Fang
0x02	Skeleton
0x03	Flan
0x04	Zaghnol
0x05	Liazard Man
0x06	Zombie
0x07	Bomb
0x08	Ironite
0x09	Sahagin
0x0A	Yeti
0x0B	Mimic
0x0C	Wyerd
0x0D	Mandragora
0x0E	Crawler
0x0F	Sand Scorpion
0x10	Nymph
0x11	Sand Golem
0x12	Zuu
0x13	Dragonfly
0x14	Carrion Worm
0x15	Carberus
0x16	Antlion
0x17	Cactuar
0x18	Gimme Cat
0x19	Ragtimer
0x1A	Hedgehog Pie
0x1B	Ralvuimahgo
0x1C	Ochu
0x1D	Troll
0x1E	Blazer Beetle
0x1F	Abomination
0x20	Zemzelett
0x21	Stroper
0x22	Tantarian
0x23	Grand Dragon
0x24	Feather Circle
0x25	Hecteyes
0x26	Ogre
0x27	Armstrong
0x28	Ash
0x29	Wraith
0x2A	Gargoyle
0x2B	Vepal
0x2C	Grimlock
0x2D	Tonberry
0x2E	Veteran
0x2F	Garuda
0x30	Malboro
0x31	Mover
0x32	Abadon
0x33	Behemoth
0x34	Iron Man
0x35	Nova Dragon
0x36	Ozma
0x37	Hades
0x38	Holy
0x39	Meteor
0x3A	Flare
0x3B	Shiva
0x3C	Ifrit
0x3D	Ramuh
0x3E	Atomos
0x3F	Odin
0x40	Leviathan
0x41	Bahamut
0x42	Ark
0x43	Fenrir
0x44	Madeen
0x45	Alexander
0x46	Excalibur II
0x47	Ultima Weapon
0x48	Masamune
0x49	Elixir
0x4A	Dark Matter
0x4B	Ribbon
0x4C	Tiger Racket
0x4D	Save The Queen
0x4E	Genji
0x4F	Mythril Sword
0x50	Blue Narciss
0x51	Hilda Garde 3
0x52	Invincible
0x53	Cargo Ship
0x54	Hilda Garde 1
0x55	Red Rose
0x56	Theater Ship
0x57	Viltgance
0x58	Chocobo
0x59	Fat Chocobo
0x5A	Mog
0x5B	Frog
0x5C	Oglop
0x5D	Alexandria
0x5E	Lindblum
0x5F	Two Moons
0x60	Gargant
0x61	Namuingway
0x62	Boco
0x63	Airship
0xFF	 
