#ID	Name
0x00	Hammer
0x01	Dagger
0x02	Mage Masher
0x03	Mythril Dagger
0x04	Gladius
0x05	Zorlin Shape
0x06	Orichalcon
0x07	Butterfly Sword
0x08	The Ogre
0x09	Exploda
0x0A	Rune Tooth
0x0B	Angel BLess
0x0C	Sargatanas
0x0D	Masamune
0x0E	The Tower
0x0F	Ultima Weapon
0x10	Broadsword
0x11	Iron Sword
0x12	Mythril Sword
0x13	Blood Sword
0x14	Ice Brand
0x15	Coral Sword
0x16	Diamond Sword
0x17	Flame Saber
0x18	Rune Blade
0x19	Denfender
0x1A	Save The Queen
0x1B	Ultima Sword
0x1C	Excalibur
0x1D	Ragnarok
0x1E	Excalibur II
0x1F	Javelin
0x20	Mythril Spear
0x21	Partisan
0x22	Ice Lance
0x23	Trident
0x24	Heavy Lance
0x25	Obelisk
0x26	Holy Lance
0x27	Kain's Lance
0x28	Dragon's Hair
0x29	Cat's Claws
0x2A	Poison Knuckles
0x2B	Mythril Claws
0x2C	Scissor Fangs
0x2D	Dragon's Claw
0x2E	Tiger Fangs
0x2F	Avenger
0x30	Kaiser Knuckles
0x31	Duel Claws
0x32	Rune Claws
0x33	Air Racket
0x34	Multina Racket
0x35	Magic Racket
0x36	Mythril Racket
0x37	Priest's Racket
0x38	Tiger Racket
0x39	Rod
0x3A	Mythril Rod
0x3B	Stardust Rod
0x3C	Healing Rod
0x3D	Asura's Rod
0x3E	Wizard Rod
0x3F	Whale Whisker
0x40	Golem's Flute
0x41	Lamia's Flute
0x42	Fairy Flute
0x43	Hamelin
0x44	Siren's Flute
0x45	Angel Flute
0x46	Mage Staff
0x47	Flame Staff
0x48	Ice Staff
0x49	Lightning Staff
0x4A	Oak Staff
0x4B	Cypress Pile
0x4C	Octagon Rod
0x4D	High Mage Staff
0x4E	Mace Of Zeus
0x4F	Fork
0x50	Needle Fork
0x51	Mythril Fork
0x52	Silver Fork
0x53	Bistro Fork
0x54	Gastro Fork
0x55	Pinwheel
0x56	Rising Sun
0x57	Wing Edge
0x58	Wrist
0x59	Leather Wrist
0x5A	Glass Armlet
0x5B	Bone Wrist
0x5C	Mythril Armlet
0x5D	Magic Armlet
0x5E	Chimera Armlet
0x5F	Egoist's Armlet
0x60	N-Kai Armlet
0x61	Jade Armlet
0x62	Thief Gloves
0x63	Dragon Wrist
0x64	Power Wrist
0x65	Bracer
0x66	Bronze Gloves
0x67	Silver Gloves
0x68	Mythril Gloves
0x69	Thunder Gloves
